"district"	"UC_GRADS"	"GRADS"	"YEAR"	"PERCENT_UC"
"494"	65789	491	1785	1999	27.5070028011204
"495"	69047	888	1770	1999	50.1694915254237
"496"	61176	1030	1760	1999	58.5227272727273
"497"	73650	1153	1724	1999	66.8793503480278
"498"	61259	336	1716	1999	19.5804195804196
"499"	64238	529	1709	1999	30.9537741369222
"500"	66621	773	1676	1999	46.1217183770883
"501"	67124	578	1671	1999	34.590065828845
"502"	61796	602	1667	1999	36.1127774445111
"503"	67710	468	1666	1999	28.0912364945978
"504"	69666	670	1662	1999	40.3128760529483
"505"	68452	354	1633	1999	21.6778934476424
"506"	64808	478	1608	1999	29.726368159204
"507"	66647	592	1567	1999	37.7791959157626
"508"	64519	361	1555	1999	23.2154340836013
"509"	68106	377	1522	1999	24.7700394218134
"510"	68346	971	1513	1999	64.177131526768
"511"	64212	754	1506	1999	50.066401062417
"512"	70920	641	1434	1999	44.7001394700139
"513"	73759	642	1395	1999	46.0215053763441
"514"	66928	510	1393	1999	36.6116295764537
"515"	68585	485	1389	1999	34.9172066234701
"516"	72256	430	1388	1999	30.9798270893372
"517"	67363	345	1380	1999	25
"518"	61804	945	1376	1999	68.6773255813954
"519"	69286	716	1375	1999	52.0727272727273
"520"	69062	457	1358	1999	33.6524300441826
"521"	67850	301	1340	1999	22.4626865671642
"522"	69401	548	1315	1999	41.6730038022814
"523"	73460	844	1306	1999	64.624808575804
"524"	68676	319	1296	1999	24.6141975308642
"525"	61853	492	1278	1999	38.4976525821596
"526"	67843	404	1274	1999	31.7111459968603
"527"	73445	543	1259	1999	43.1294678316124
"528"	10199	267	1246	1999	21.4285714285714
"529"	66597	612	1243	1999	49.2357200321802
"530"	67058	428	1236	1999	34.6278317152104
"531"	69310	335	1231	1999	27.2136474411048
"532"	66159	383	1230	1999	31.1382113821138
"533"	64451	324	1211	1999	26.7547481420314
"534"	61630	594	1188	1999	50
"535"	72603	451	1169	1999	38.5799828913601
"536"	64907	134	1136	1999	11.7957746478873
"537"	73452	329	1127	1999	29.1925465838509
"538"	61648	555	1120	1999	49.5535714285714
"539"	61192	328	1099	1999	29.845313921747
"540"	64840	237	1089	1999	21.763085399449
"541"	70540	235	1080	1999	21.7592592592593
"542"	68924	402	1060	1999	37.9245283018868
"543"	70581	327	1055	1999	30.9952606635071
"544"	67934	244	1042	1999	23.4165067178503
"545"	70136	312	1040	1999	30
"546"	66266	324	1027	1999	31.5481986368062
"547"	64881	372	1020	1999	36.4705882352941
"548"	73569	363	1014	1999	35.7988165680473
"549"	70573	352	1010	1999	34.8514851485148
"550"	69823	383	977	1999	39.2016376663255
"551"	68593	362	970	1999	37.319587628866
"552"	64337	154	955	1999	16.1256544502618
"553"	72652	317	952	1999	33.2983193277311
"554"	66357	402	940	1999	42.7659574468085
"555"	69799	269	937	1999	28.7086446104589
"556"	75192	301	927	1999	32.470334412082
"557"	61424	352	918	1999	38.3442265795207
"558"	66894	336	914	1999	36.7614879649891
"559"	73437	174	900	1999	19.3333333333333
"560"	64352	198	889	1999	22.2722159730034
"561"	64436	418	886	1999	47.1783295711061
"562"	67090	246	875	1999	28.1142857142857
"563"	67082	244	872	1999	27.9816513761468
"564"	73643	369	868	1999	42.5115207373272
"565"	75176	243	864	1999	28.125
"566"	75523	166	859	1999	19.3247962747381
"567"	67330	245	858	1999	28.5547785547786
"568"	67686	217	857	1999	25.3208868144691
"569"	66977	248	842	1999	29.4536817102138
"570"	64261	471	835	1999	56.4071856287425
"571"	61242	241	834	1999	28.8968824940048
"572"	72249	185	834	1999	22.1822541966427
"573"	75044	196	830	1999	23.6144578313253
"574"	75069	225	828	1999	27.1739130434783
"575"	67173	157	820	1999	19.1463414634146
"576"	64683	507	811	1999	62.5154130702836
"577"	61200	253	810	1999	31.2345679012346
"578"	65243	226	801	1999	28.2147315855181
"579"	10306	2	791	1999	0.252844500632111
"580"	64303	178	784	1999	22.7040816326531
"581"	75101	391	781	1999	50.0640204865557
"582"	69674	262	780	1999	33.5897435897436
"583"	75077	213	757	1999	28.1373844121532
"584"	64774	342	751	1999	45.5392809587217
"585"	64865	626	751	1999	83.3555259653795
"586"	75499	277	751	1999	36.884154460719
"587"	64980	409	750	1999	54.5333333333333
"588"	65482	430	745	1999	57.7181208053691
"589"	67207	180	743	1999	24.2261103633917
"590"	71316	149	741	1999	20.1079622132254
"591"	64287	115	728	1999	15.7967032967033
"592"	64329	171	727	1999	23.5213204951857
"593"	73387	208	719	1999	28.9290681502086
"594"	69641	512	709	1999	72.2143864598025
"595"	63115	70	682	1999	10.2639296187683
"596"	32276	4	679	1999	0.589101620029455
"597"	61143	506	676	1999	74.8520710059172
"598"	61309	201	674	1999	29.8219584569733
"599"	70862	229	669	1999	34.2301943198804
"600"	61119	255	649	1999	39.2912172573189
"601"	71464	94	647	1999	14.5285935085008
"602"	69070	200	644	1999	31.055900621118
"603"	73924	271	640	1999	42.34375
"604"	67959	182	628	1999	28.9808917197452
"605"	68122	168	609	1999	27.5862068965517
"606"	69609	340	609	1999	55.8292282430213
"607"	64873	61	608	1999	10.0328947368421
"608"	69534	395	608	1999	64.9671052631579
"609"	73957	74	605	1999	12.2314049586777
"610"	64634	210	595	1999	35.2941176470588
"611"	66092	100	590	1999	16.9491525423729
"612"	64394	288	589	1999	48.8964346349745
"613"	64527	152	587	1999	25.8943781942078
"614"	72710	163	585	1999	27.8632478632479
"615"	68809	206	576	1999	35.7638888888889
"616"	73825	199	574	1999	34.6689895470383
"617"	69583	160	573	1999	27.9232111692845
"618"	68759	163	560	1999	29.1071428571429
"619"	64576	326	553	1999	58.9511754068716
"620"	61721	136	550	1999	24.7272727272727
"621"	69229	244	549	1999	44.4444444444444
"622"	63412	111	547	1999	20.2925045703839
"623"	63925	179	539	1999	33.2096474953618
"624"	67538	152	537	1999	28.3054003724395
"625"	73791	174	537	1999	32.4022346368715
"626"	75200	119	536	1999	22.2014925373134
"627"	73965	160	534	1999	29.9625468164794
"628"	72678	322	523	1999	61.5678776290631
"629"	73551	238	518	1999	45.945945945946
"630"	71043	58	517	1999	11.2185686653772
"631"	73676	80	517	1999	15.4738878143133
"632"	61515	116	515	1999	22.5242718446602
"633"	65094	103	514	1999	20.0389105058366
"634"	61150	248	512	1999	48.4375
"635"	75333	204	509	1999	40.0785854616896
"636"	68569	198	505	1999	39.2079207920792
"637"	67777	102	490	1999	20.8163265306122
"638"	64279	85	486	1999	17.4897119341564
"639"	61234	201	485	1999	41.4432989690722
