"district"	"ENROLL_TOTAL"	"ENROLL_MEAN"	"GR_Kto5_TOTAL"	"GR_Kto5_MEAN"	"GR_6to8_TOTAL"	"GR_6to8_MEAN"	"GR_9to12_TOTAL"	"GR_9to12_MEAN"	"YEAR"
"174"	62810	1238	68.7777777777778	0	0	0	0	1238	68.7777777777778	1998
"175"	62828	245	30.625	203	25.375	42	5.25	0	0	1998
"176"	62836	54	9	53	8.83333333333333	1	0.166666666666667	0	0	1998
"177"	62851	14	3.5	13	3.25	1	0.25	0	0	1998
"178"	62885	162	23.1428571428571	103	14.7142857142857	59	8.42857142857143	0	0	1998
"179"	62893	383	38.3	226	22.6	157	15.7	0	0	1998
"180"	62901	1311	29.1333333333333	566	12.5777777777778	314	6.97777777777778	430	9.55555555555556	1998
"181"	62919	52	7.42857142857143	36	5.14285714285714	16	2.28571428571429	0	0	1998
"182"	62927	168	24	113	16.1428571428571	55	7.85714285714286	0	0	1998
"183"	62935	22	11	15	7.5	7	3.5	0	0	1998
"184"	62950	1438	38.8648648648649	944	25.5135135135135	494	13.3513513513514	0	0	1998
"185"	62968	69	11.5	44	7.33333333333333	25	4.16666666666667	0	0	1998
"186"	62976	594	49.5	377	31.4166666666667	217	18.0833333333333	0	0	1998
"187"	62984	133	16.625	99	12.375	34	4.25	0	0	1998
"188"	63008	329	36.5555555555556	217	24.1111111111111	112	12.4444444444444	0	0	1998
"189"	63016	577	36.0625	366	22.875	211	13.1875	0	0	1998
"190"	63024	370	37	254	25.4	116	11.6	0	0	1998
"191"	63032	575	27.3809523809524	483	23	79	3.76190476190476	0	0	1998
"192"	63040	1446	20.6571428571429	585	8.35714285714286	358	5.11428571428571	479	6.84285714285714	1998
"193"	63057	160	12.3076923076923	94	7.23076923076923	66	5.07692307692308	0	0	1998
"194"	63073	3760	117.5	2523	78.84375	1237	38.65625	0	0	1998
"195"	63081	1749	83.2857142857143	0	0	0	0	1749	83.2857142857143	1998
"196"	63099	7459	135.618181818182	3435	62.4545454545455	1711	31.1090909090909	2306	41.9272727272727	1998
